"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/03/06","00:00","-3.272","-","-3.24"
"2024/03/06","01:00","-4.48","-","-4.3"
"2024/03/06","02:00","-5.18","-","-4.94"
"2024/03/06","03:00","-5.258","-","-4.97"
"2024/03/06","04:00","-4.773","-","-4.55"
"2024/03/06","05:00","-3.827","-","-3.55"
"2024/03/06","06:00","-2.532","-","-2.21"
"2024/03/06","07:00","-1.089","-","-0.68"
"2024/03/06","08:00","0.299","-","0.76"
"2024/03/06","09:00","1.513","-","2.12"
"2024/03/06","10:00","2.465","-","3.09"
"2024/03/06","11:00","3.059","-","3.71"
"2024/03/06","12:00","3.259","-","3.77"
"2024/03/06","13:00","3.153","-","3.52"
"2024/03/06","14:00","2.926","-","3.23"
"2024/03/06","15:00","2.747","-","2.93"
"2024/03/06","16:00","2.661","-","2.67"
"2024/03/06","17:00","2.651","-","2.49"
"2024/03/06","18:00","2.688","-","2.36"
"2024/03/06","19:00","2.669","-","2.26"
"2024/03/06","20:00","2.426","-","2"
"2024/03/06","21:00","1.857","-","1.45"
"2024/03/06","22:00","0.937","-","0.67"
"2024/03/06","23:00","-0.328","-","-0.51"
"2024/03/07","00:00","-1.856","-","-2.03"
"2024/03/07","01:00","-3.438","-","-3.53"
"2024/03/07","02:00","-4.763","-","-4.8"
"2024/03/07","03:00","-5.535","-","-5.54"
"2024/03/07","04:00","-5.621","-","-5.56"
"2024/03/07","05:00","-5.064","-","-5.02"
"2024/03/07","06:00","-3.975","-","-3.93"
"2024/03/07","07:00","-2.513","-","-2.41"
"2024/03/07","08:00","-0.914","-","-0.74"
"2024/03/07","09:00","0.611","-","0.93"
"2024/03/07","10:00","1.912","-","2.34"
"2024/03/07","11:00","2.851","-","3.32"
"2024/03/07","12:00","3.312","-","3.8"
"2024/03/07","13:00","3.295","-","3.73"
"2024/03/07","14:00","2.949","-","3.26"
"2024/03/07","15:00","2.523","-","2.79"
"2024/03/07","16:00","2.234","-","2.41"
"2024/03/07","17:00","2.148","-","2.2"
"2024/03/07","18:00","2.232","-","2.09"
"2024/03/07","19:00","2.411","-","2.06"
"2024/03/07","20:00","2.537","-","2.11"
"2024/03/07","21:00","2.428","-","2.01"
"2024/03/07","22:00","1.965","-","1.63"
"2024/03/07","23:00","1.087","-","0.8"
"2024/03/08","00:00","-0.219","-","-0.5"
"2024/03/08","01:00","-1.85","-","-2.16"
"2024/03/08","02:00","-3.552","-","-3.81"
"2024/03/08","03:00","-4.966","-","-5.19"
"2024/03/08","04:00","-5.749","-","-5.98"
"2024/03/08","05:00","-5.757","-","-5.9"
"2024/03/08","06:00","-5.053","-","-5.33"
"2024/03/08","07:00","-3.79","-","-3.97"
"2024/03/08","08:00","-2.167","-","-2.3"
"2024/03/08","09:00","-0.445","-","-0.45"
"2024/03/08","10:00","1.141","-","1.15"
"2024/03/08","11:00","2.402","-","2.58"
"2024/03/08","12:00","3.172","-","3.45"
"2024/03/08","13:00","3.356","-","3.68"
"2024/03/08","14:00","3.008","-","3.22"
"2024/03/08","15:00","2.356","-","2.56"
"2024/03/08","16:00","1.734","-","1.98"
"2024/03/08","17:00","1.397","-","1.57"
"2024/03/08","18:00","1.39","-","1.49"
"2024/03/08","19:00","1.633","-","1.57"
"2024/03/08","20:00","2.008","-","1.85"
"2024/03/08","21:00","2.332","-","2.18"
"2024/03/08","22:00","2.399","-","2.37"
"2024/03/08","23:00","2.059","-","2.09"
"2024/03/09","00:00","1.23","-","1.36"
"2024/03/09","01:00","-0.1","-","0.07"
"2024/03/09","02:00","-1.8","-","-1.7"
"2024/03/09","03:00","-3.568","-","-3.52"
"2024/03/09","04:00","-4.978","-","-4.96"
"2024/03/09","05:00","-5.658","-","-5.64"
"2024/03/09","06:00","-5.497","-","-5.36"
"2024/03/09","07:00","-4.612","-","-4.58"
"2024/03/09","08:00","-3.185","-","-3.07"
"2024/03/09","09:00","-1.447","-","-1.25"
"2024/03/09","10:00","0.312","-","0.62"
"2024/03/09","11:00","1.825","-","2.29"
"2024/03/09","12:00","2.887","-","3.49"
"2024/03/09","13:00","3.334","-","4.02"
"2024/03/09","14:00","3.111","-","3.89"
"2024/03/09","15:00","2.348","-","3.22"
"2024/03/09","16:00","1.38","-","2.34"
"2024/03/09","17:00","0.618","-","1.59"
"2024/03/09","18:00","0.304","-","1.31"
"2024/03/09","19:00","0.428","-","1.36"
"2024/03/09","20:00","0.871","-","1.77"
"2024/03/09","21:00","1.482","-","2.37"
"2024/03/09","22:00","2.037","-","3.06"
"2024/03/09","23:00","2.295","-","3.34"
"2024/03/10","00:00","2.095","-","3.04"
"2024/03/10","01:00","1.343","-","2.24"
"2024/03/10","02:00","0.034","-","0.93"
"2024/03/10","03:00","-1.666","-","-0.95"
"2024/03/10","04:00","-3.391","-","-2.85"
"2024/03/10","05:00","-4.662","-","-4.3"
"2024/03/10","06:00","-5.133","-","-4.66"
"2024/03/10","07:00","-4.763","-","-4.15"
"2024/03/10","08:00","-3.709","-","-3.12"
"2024/03/10","09:00","-2.172","-","-1.45"
"2024/03/10","10:00","-0.414","-","0.49"
"2024/03/10","11:00","1.244","-","2.37"
"2024/03/10","12:00","2.53","-","3.82"
"2024/03/10","13:00","3.242","-","4.67"
"2024/03/10","14:00","3.237","-","4.62"
"2024/03/10","15:00","2.52","-","4.07"
"2024/03/10","16:00","1.333","-","3.04"
"2024/03/10","17:00","0.112","-","1.87"
"2024/03/10","18:00","-0.711","-","0.93"
"2024/03/10","19:00","-0.947","-","0.56"
"2024/03/10","20:00","-0.658","-","0.78"
"2024/03/10","21:00","0.012","-","1.25"
"2024/03/10","22:00","0.875","-","2.14"
"2024/03/10","23:00","1.662","-","2.85"
"2024/03/11","00:00","2.119","-","3.31"
"2024/03/11","01:00","2.08","-","3.07"
"2024/03/11","02:00","1.443","-","2.48"
"2024/03/11","03:00","0.215","-","1.36"
"2024/03/11","04:00","-1.382","-","-0.36"
"2024/03/11","05:00","-2.924","-","-2.12"
"2024/03/11","06:00","-3.94","-","-3.28"
"2024/03/11","07:00","-4.155","-","-3.42"
"2024/03/11","08:00","-3.592","-","-2.77"
"2024/03/11","09:00","-2.428","-","-1.74"
"2024/03/11","10:00","-0.878","-","-0.09"
"2024/03/11","11:00","0.764","-","1.56"
"2024/03/11","12:00","2.175","-","3.01"
"2024/03/11","13:00","3.098","-","4.01"
"2024/03/11","14:00","3.343","-","4.23"
"2024/03/11","15:00","2.809","-","3.72"
"2024/03/11","16:00","1.601","-","2.7"
"2024/03/11","17:00","0.069","-","1.22"
"2024/03/11","18:00","-1.3","-","-0.23"
"2024/03/11","19:00","-2.106","-","-1.14"
"2024/03/11","20:00","-2.221","-","-1.2"
"2024/03/11","21:00","-1.742","-","-0.78"
"2024/03/11","22:00","-0.84","-","0.12"
"2024/03/11","23:00","0.257","-","1.26"
"2024/03/12","00:00","1.259","-","2.26"
"2024/03/12","01:00","1.914","-","2.95"
"2024/03/12","02:00","2.048","-","3.09"
"2024/03/12","03:00","1.556","-","2.72"
"2024/03/12","04:00","0.487","-","1.89"
"2024/03/12","05:00","-0.886","-","0.49"
"2024/03/12","06:00","-2.137","-","-0.86"
"2024/03/12","07:00","-2.85","-","-1.6"
"2024/03/12","08:00","-2.826","-","-1.42"
"2024/03/12","09:00","-2.131","-","-0.79"
"2024/03/12","10:00","-0.955","-","0.33"
"2024/03/12","11:00","0.477","-","1.7"
"2024/03/12","12:00","1.87","-","3.17"
"2024/03/12","13:00","2.918","-","4.27"
"2024/03/12","14:00","3.383","-","4.65"
"2024/03/12","15:00","3.108","-","4.29"
"2024/03/12","16:00","2.069","-","3.34"
"2024/03/12","17:00","0.474","-","1.71"
"2024/03/12","18:00","-1.267","-","-0.13"
"2024/03/12","19:00","-2.673","-","-1.7"
"2024/03/12","20:00","-3.393","-","-2.46"
"2024/03/12","21:00","-3.351","-","-2.34"
"2024/03/12","22:00","-2.683","-","-1.89"
